Jsc,Voc,FF,Efficiency,Rs,Rp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
5.6,323.81,54.4,0.99,11.92,790.03,185,600,57.82,66.2777,5
5.11,327.63,55.15,0.92,14.01,1067.45,340,600,64.12,76.192,5
5.06,328.54,56.42,0.94,12.9,1125.09,340,600,64.93,87.2163,5
5.15,329.67,56.07,0.95,13.01,1085.77,340,600,64.01,83.4566,5
5.36,331.94,56.41,1.0,12.31,1097.49,340,600,61.93,89.1543,5
5.07,330.02,55.53,0.93,13.56,1085.09,340,600,65.09,80.0214,5
5.06,329.25,55.83,0.93,13.07,1108.2,340,600,65.07,84.7896,5
5.13,327.74,55.77,0.94,12.72,1035.56,340,600,63.89,81.4119,5
5.32,324.92,55.23,0.96,12.54,941.68,340,600,61.08,75.0941,5
5.38,329.2,50.44,0.89,15.71,367.92,475,600,61.19,23.4195,5
5.23,332.05,50.89,0.88,13.92,285.64,475,600,63.49,20.5201,5
5.25,336.48,52.18,0.92,13.35,316.85,475,600,64.09,23.7341,5
5.31,340.37,52.89,0.96,12.93,342.59,475,600,64.1,26.4957,5
5.51,322.61,53.06,0.94,13.6,585.65,475,600,58.55,43.0625,5
5.36,329.58,53.27,0.94,12.85,430.96,475,600,61.49,33.5377,5
5.41,337.71,52.74,0.96,12.71,334.44,475,600,62.42,26.3131,5
5.45,343.8,54.7,1.02,12.46,552.15,475,600,63.08,44.3138,5
